[2018-07-18T17:25:07.924] [DEBUG] logs\debug.log - Result of conversion: 264
[2018-07-18T17:25:07.925] [DEBUG] logs\debug.log - Converting 3.4 to int
[2018-07-18T17:25:07.926] [DEBUG] logs\debug.log - Result of conversion: 304
[2018-07-18T17:25:07.931] [DEBUG] logs\debug.log - Converting 4.27 to int
[2018-07-18T17:25:07.932] [DEBUG] logs\debug.log - Result of conversion: 427
[2018-07-18T17:25:07.933] [DEBUG] logs\debug.log - Converting 2.6 to int
[2018-07-18T17:25:07.934] [DEBUG] logs\debug.log - Result of conversion: 206
[2018-07-18T17:25:07.940] [DEBUG] logs\debug.log - Converting 3 to int
[2018-07-18T17:25:07.941] [DEBUG] logs\debug.log - Result of conversion: 300
[2018-07-18T17:25:07.943] [DEBUG] logs\debug.log - Converting 5.49 to int
[2018-07-18T17:25:07.943] [DEBUG] logs\debug.log - Result of conversion: 549
[2018-07-18T17:25:07.944] [DEBUG] logs\debug.log - Converting 9.07 to int
[2018-07-18T17:25:07.945] [DEBUG] logs\debug.log - Result of conversion: 907
[2018-07-18T17:25:07.946] [DEBUG] logs\debug.log - Converting 5.32 to int
[2018-07-18T17:25:07.947] [DEBUG] logs\debug.log - Result of conversion: 532
[2018-07-18T17:25:07.948] [DEBUG] logs\debug.log - Converting 1.15 to int
[2018-07-18T17:25:07.949] [DEBUG] logs\debug.log - Result of conversion: 115
[2018-07-18T17:25:07.950] [DEBUG] logs\debug.log - Converting 2.47 to int
[2018-07-18T17:25:07.951] [DEBUG] logs\debug.log - Result of conversion: 247
[2018-07-18T17:25:07.951] [DEBUG] logs\debug.log - Converting 9.1 to int
[2018-07-18T17:25:07.952] [DEBUG] logs\debug.log - Result of conversion: 901
[2018-07-18T17:25:07.953] [DEBUG] logs\debug.log - Converting 9.91 to int
[2018-07-18T17:25:07.954] [DEBUG] logs\debug.log - Result of conversion: 991
[2018-07-18T17:25:07.955] [DEBUG] logs\debug.log - Converting 9.85 to int
[2018-07-18T17:25:07.956] [DEBUG] logs\debug.log - Result of conversion: 985
[2018-07-18T17:25:07.957] [DEBUG] logs\debug.log - Converting 1.34 to int
[2018-07-18T17:25:07.958] [DEBUG] logs\debug.log - Result of conversion: 134
[2018-07-18T17:25:07.959] [DEBUG] logs\debug.log - Converting 0.51 to int
[2018-07-18T17:25:07.960] [DEBUG] logs\debug.log - Result of conversion: 51
[2018-07-18T17:25:07.961] [DEBUG] logs\debug.log - Converting 4.92 to int
